G. Venkat	Naveen	Founder & CMD	Navanaami	navanaami.com
Srinivasa Rao	Veluvolu	CMD	Nikhila Constructions	nikhilaconstructions.com
Nikhila	Veluvolu	Director	Nikhila Constructions	nikhilaconstructions.com
Dr. M.	Yuvaraju	Founder & Chairman	Myron Homes	myronhomes.in
Vinod	Sekaran	MD	Keerthi Estates	keerthiestates.com
Prashant Kumar	Jain	Managing Partner	Samisti Legal	samistilegal.in
Saikrishna	Rajagopal	Managing Partner	Saikrishna & Associates	saikrishna.co.in
Ravi	Singhania	Founder & Managing Partner	Singhania & Partners	singhania.in
Bimal	Handa	Senior Partner	Dhir & Dhir Associates	dhirandhir.com
Jyoti	Sagar	Founder & Managing Partner	JSA (Jyoti Sagar Associates)	jsalaw.com
Govind	Paliwal	Partner – Hyderabad	Kochhar & Co.	kochhar.com
Mahesh	Maheshwari	Partner	Maheshwari & Co.	maheshwariandco.com
Nishith	Desai	Founder	Nishith Desai Associates	nishithdesai.com
Rajesh	Narain Gupta	Managing Partner	RNG Advocates & Legal Solutions	rngadvocates.com
Vikram	Nankani	Partner – Hyderabad	ALMT Legal	almtlegal.com
G.S.	Srinivasaraju	Managing Partner	GS Legal Associates	gslegal.in
K.	Srinivas	Managing Partner	K. Srinivas & Associates	ksrinivas.in
Sankarsh	Chanda	Founder & CEO	Savart	savart.com
Soumya	Rajan	Founder & CEO	Waterfield Advisors	waterfieldadvisors.com
Anuj	Kapoor	Founder	Upwisery	upwisery.com
Shiv	Gupta	CEO	Sanctum Wealth Management	sanctumwealth.com
Sandeep	Jethwani	Co-founder	Dezerv	dezerv.in
Deepak	Jain	MD & CEO	GCIA – Guardian Capital	gcia.in
Venkat	Chalasani	Founder	Emerald Haven Investments	Hyderabad
Krishna	Prasad	MD	Geojit Financial Hyd	geojit.com
M. Sai	Prasad	CEO	Way2Wealth Hyd Branch	way2wealth.com
Harish	Krishnamurti	MD	Sriram Insight Hyd	sriraminsight.com
S. Murali	Krishna	Founder & CEO	IndiaFirst Capital	indiafirstcapital.com
C. Narsimhan	Reddy	Founder	Narsimhan Financial Advisors	narsirhman-fa.com
GHR Infra		info@ghrinfra.in	http://www.ghrinfra.in	Hyderabad developer/builder with sales, channel partner, buyer-document, site-progress, and WhatsApp-heavy workflows.
SDG Group		info@sdg.in	https://sdg.in	Hyderabad developer/builder with sales, channel partner, buyer-document, site-progress, and WhatsApp-heavy workflows.
Candeur Group		sales@candeur.in	https://candeur.in	Hyderabad developer/builder with sales, channel partner, buyer-document, site-progress, and WhatsApp-heavy workflows.
Teramor Developers		sales@teramor.in	https://www.teramor.in	Hyderabad developer/builder with sales, channel partner, buyer-document, site-progress, and WhatsApp-heavy workflows.
KGR Fortune Infra Builders		kgrfortuneinfra@gmail.com	https://kgrfortune.com	Hyderabad developer/builder with sales, channel partner, buyer-document, site-progress, and WhatsApp-heavy workflows.
MAK Projects		info@makprojects.com	https://www.makprojects.com	Hyderabad developer/builder with sales, channel partner, buyer-document, site-progress, and WhatsApp-heavy workflows.
JB Infra Group		info@jbinfra.com	https://jbinfra.com	Hyderabad developer/builder with sales, channel partner, buyer-document, site-progress, and WhatsApp-heavy workflows.
VMR Buildcon		vmrbuildcon@gmail.com	https://vmr.in	Hyderabad developer/builder with sales, channel partner, buyer-document, site-progress, and WhatsApp-heavy workflows.
Urban Sky Developers		info@urbansky.in	https://urbansky.in	Hyderabad developer/builder with sales, channel partner, buyer-document, site-progress, and WhatsApp-heavy workflows.
Makuta Developers		hr@makutadevelopers.com	https://makutadevelopers.com	Hyderabad developer/builder with sales, channel partner, buyer-document, site-progress, and WhatsApp-heavy workflows.
